Indicador,Descripción
Pobreza,Incidencia de la pobreza o porcentaje de personas cuyo ingreso disponible del hogar per cápita es inferior a la línea de pobreza.
Cambio en la pobreza,Cambio en la tasa de pobreza respecto al escenario base.
Nuevos pobres,Cambio en la cantidad de personas pobres respecto al escenario base.
Brecha relativa,Distancia promedio expresada como porcentaje de la línea de pobreza entre el ingreso (o consumo) de las personas pobres y la línea de pobreza: indica cuánto ingreso adicional necesitaría cada persona pobre en promedio para alcanzar el umbral de la pobreza.
Brecha nacional Q hogar /mes,Ingreso adicional mensual requerido por hogar para que la población alcance la línea de pobreza.
Brecha pobres Q hogar / mes,Ingreso adicional mensual requerido por los hogares pobres en el escenario base para alcanzar la línea de pobreza.
Gini,Coeficiente de Gini para medir la distribución del ingreso: valores entre 0 y 1; 0 es equidad absoluta y 1 es inequidad absoluta.
Cambio en Gini,Cambio en el coeficiente de Gini: si aumenta el Gini hay más desigualdad; si disminuye hay menos.
Palma,Índice que relaciona los ingresos del 10% más rico con los del 40% más pobre.
Theil,Medida de desigualdad de la familia de índices de entropía generalizada; evalúa cómo se distribuyen los ingresos respecto a una distribución igualitaria.
Impuestos y compensaciones como % del ingreso disponible,"Ratio del instrumento fiscal (impuestos y compensaciones) del decil o grupo respecto al ingreso disponible del mismo decil o grupo: incidencia relativa del instrumento respecto al ingreso per cápita."
Impuestos y compensaciones % del total,Ratio del instrumento fiscal del decil o grupo respecto al total nacional: peso relativo de ese decil en el agregado fiscal.
Impuestos y compensaciones por decil % del PIB,Estimación del valor total de los instrumentos fiscales como proporción del PIB según la encuesta; orienta posibles impactos en recaudación y conviene complementarla con otros indicadores.
Índice de concentración (IC),Mide la concentración del instrumento fiscal (p. ej. impuesto o subsidio) cuando se ordena por ingreso; valores entre −1 y 1 aproximadamente según el instrumento.
Índice de Kakwani,Diferencia entre el índice de concentración del instrumento fiscal y el coeficiente de Gini del ingreso de referencia: valores negativos sugieren efecto más progresivo que la distribución del ingreso; positivos más regresivos.
