cod_variedad,cod_articulo,cod_subclase,cod_clase,cod_subgrupo,cod_grupo
1,11111,1111,111,11,1
2,11111,1111,111,11,1
3,11111,1111,111,11,1
4,11113,1111,111,11,1
5,11111,1111,111,11,1
6,11111,1111,111,11,1
7,11111,1111,111,11,1
8,11111,1111,111,11,1
9,11111,1111,111,11,1
10,11111,1111,111,11,1
11,11111,,,,
12,11111,1111,111,11,1
13,11111,1111,111,11,1
14,11111,1111,111,11,1
15,11111,1111,111,11,1
17,11112,1111,111,11,1
18,11112,1111,111,11,1
19,11112,1111,111,11,1
20,11112,1111,111,11,1
21,11112,1111,111,11,1
22,11112,1111,111,11,1
23,11112,1111,111,11,1
24,11112,1111,111,11,1
26,11113,,,,
29,11113,1111,111,11,1
32,11113,1111,111,11,1
34,11113,,,,
35,11113,1111,111,11,1
38,11113,1111,111,11,1
40,111121,11112,1111,111,11
41,11132,1113,111,11,1
43,11113,1111,111,11,1
44,11113,1111,111,11,1
46,11113,1111,111,11,1
47,11113,1111,111,11,1
48,11113,1111,111,11,1
49,11113,1111,111,11,1
51,11113,1111,111,11,1
52,11113,1111,111,11,1
53,11113,1111,111,11,1
56,11121,1112,111,11,1
57,11121,1112,111,11,1
58,11121,1112,111,11,1
59,11121,1112,111,11,1
60,11121,1112,111,11,1
61,11121,1112,111,11,1
62,11121,1112,111,11,1
63,11121,,,,
65,11131,1113,111,11,1
66,11131,1113,111,11,1
67,11131,1113,111,11,1
69,11131,1113,111,11,1
71,11132,1113,111,11,1
72,11132,1113,111,11,1
73,11132,1113,111,11,1
74,11132,1113,111,11,1
75,11132,1113,111,11,1
76,11132,1113,111,11,1
77,11132,1113,111,11,1
78,11132,1113,111,11,1
79,11132,1113,111,11,1
80,11132,1113,111,11,1
81,11132,1113,111,11,1
82,11132,1113,111,11,1
83,11132,1113,111,11,1
84,11132,1113,111,11,1
86,11141,1114,111,11,1
87,11141,1114,111,11,1
88,11141,1114,111,11,1
89,11141,1114,111,11,1
90,11141,1114,111,11,1
91,11141,,,,
92,11141,1114,111,11,1
94,11211,1121,112,11,1
95,11211,1121,112,11,1
96,11211,1121,112,11,1
97,11211,1121,112,11,1
98,11211,1121,112,11,1
99,11211,1121,112,11,1
100,11211,1121,112,11,1
101,11211,1121,112,11,1
103,11211,,,,
104,11211,1121,112,11,1
105,11211,1121,112,11,1
106,11241,1124,112,11,1
107,11211,1121,112,11,1
108,11211,1121,112,11,1
110,11212,1121,112,11,1
111,11212,1121,112,11,1
112,11212,1121,112,11,1
113,11212,1121,112,11,1
114,11212,1121,112,11,1
115,11212,1121,112,11,1
116,11212,1121,112,11,1
117,11212,1121,112,11,1
118,11212,1121,112,11,1
119,11212,1121,112,11,1
120,11212,1121,112,11,1
121,11242,1124,112,11,1
122,11242,1124,112,11,1
123,11212,1121,112,11,1
124,11213,,,,
125,11213,1121,112,11,1
126,11213,1121,112,11,1
127,11213,1121,112,11,1
128,11213,1121,112,11,1
129,11213,1121,112,11,1
130,11213,1121,112,11,1
131,11213,1121,112,11,1
132,11213,1121,112,11,1
133,11213,1121,112,11,1
134,11213,1121,112,11,1
135,11243,1124,112,11,1
137,11214,1121,112,11,1
138,11214,,,,
140,11241,1124,112,11,1
141,11241,1124,112,11,1
142,11241,1124,112,11,1
143,11241,1124,112,11,1
145,11241,1124,112,11,1
146,11243,1124,112,11,1
147,11241,1124,112,11,1
149,11243,1124,112,11,1
151,11243,1124,112,11,1
152,11222,,,,
154,11221,1122,112,11,1
157,11221,1122,112,11,1
158,11221,1122,112,11,1
159,11221,1122,112,11,1
160,11221,1122,112,11,1
161,11221,1122,112,11,1
162,11221,1122,112,11,1
164,11222,1122,112,11,1
165,11222,1122,112,11,1
166,11222,1122,112,11,1
167,11222,1122,112,11,1
169,11222,1122,112,11,1
170,11222,1122,112,11,1
171,11222,1122,112,11,1
172,11222,1122,112,11,1
173,11222,1122,112,11,1
174,11222,1122,112,11,1
175,11222,1122,112,11,1
176,11222,1122,112,11,1
177,11222,1122,112,11,1
178,11222,1122,112,11,1
179,11222,1122,112,11,1
180,11222,,,,
181,11222,1122,112,11,1
182,11222,1122,112,11,1
183,11222,1122,112,11,1
184,11222,1122,112,11,1
185,11222,1122,112,11,1
186,11222,1122,112,11,1
187,11222,1122,112,11,1
189,11222,1122,112,11,1
192,11243,1124,112,11,1
193,11241,1124,112,11,1
194,11243,1124,112,11,1
195,11231,1123,112,11,1
196,11231,1123,112,11,1
197,11231,1123,112,11,1
198,11231,,,,
199,11231,1123,112,11,1
200,11311,1131,113,11,1
201,11311,1131,113,11,1
202,11311,1131,113,11,1
203,11311,1131,113,11,1
204,11311,1131,113,11,1
205,11311,1131,113,11,1
206,11311,1131,113,11,1
207,11311,1131,113,11,1
208,11311,1131,113,11,1
209,11311,1131,113,11,1
210,11311,1131,113,11,1
211,11311,1131,113,11,1
212,11311,1131,113,11,1
213,11311,1131,113,11,1
214,11311,1131,113,11,1
215,11311,1131,113,11,1
216,11311,1131,113,11,1
220,11311,1131,113,11,1
221,11311,1131,113,11,1
222,11311,1131,113,11,1
223,11311,1131,113,11,1
224,11311,1131,113,11,1
225,11311,1131,113,11,1
226,11311,,,,
227,11311,1131,113,11,1
228,11321,1132,113,11,1
231,11321,1132,113,11,1
232,11321,1132,113,11,1
233,11321,1132,113,11,1
234,11321,1132,113,11,1
235,11321,1132,113,11,1
236,11321,1132,113,11,1
237,11321,1132,113,11,1
239,11321,1132,113,11,1
242,11411,1141,114,11,1
243,11411,1141,114,11,1
245,11411,1141,114,11,1
247,11411,1141,114,11,1
251,11421,1142,114,11,1
252,11421,1142,114,11,1
253,11421,1142,114,11,1
254,11421,1142,114,11,1
255,11421,1142,114,11,1
256,11421,1142,114,11,1
257,11421,1142,114,11,1
259,11421,1142,114,11,1
260,11431,1143,114,11,1
261,11431,1143,114,11,1
262,11431,1143,114,11,1
263,11431,1143,114,11,1
264,11431,1143,114,11,1
265,11431,1143,114,11,1
266,11431,1143,114,11,1
267,11431,1143,114,11,1
268,11431,1143,114,11,1
269,11431,1143,114,11,1
270,11431,,,,
271,11431,,,,
272,11431,1143,114,11,1
275,11441,1144,114,11,1
276,11441,1144,114,11,1
277,11441,1144,114,11,1
278,11441,1144,114,11,1
280,11451,1145,114,11,1
281,11451,1145,114,11,1
282,11451,1145,114,11,1
283,11451,1145,114,11,1
286,11451,,,,
287,11461,1146,114,11,1
288,11461,1146,114,11,1
289,11461,1146,114,11,1
290,11461,1146,114,11,1
291,11461,,,,
293,11511,1151,115,11,1
294,11511,1151,115,11,1
295,11511,1151,115,11,1
296,11511,1151,115,11,1
297,11511,1151,115,11,1
298,11511,,,,
299,11511,1151,115,11,1
300,11511,1151,115,11,1
301,11511,,,,
303,11521,1152,115,11,1
304,11521,1152,115,11,1
306,11521,1152,115,11,1
307,11521,1152,115,11,1
308,11522,1152,115,11,1
309,11522,1152,115,11,1
311,11611,1161,116,11,1
312,11611,1161,116,11,1
313,11611,1161,116,11,1
314,11611,1161,116,11,1
315,11611,1161,116,11,1
316,11611,1161,116,11,1
317,11611,1161,116,11,1
318,11611,1161,116,11,1
319,11611,1161,116,11,1
320,11611,1161,116,11,1
321,11611,1161,116,11,1
322,11611,1161,116,11,1
323,11611,1161,116,11,1
324,11611,1161,116,11,1
325,11611,1161,116,11,1
326,11611,1161,116,11,1
327,11611,1161,116,11,1
328,11611,1161,116,11,1
329,11611,1161,116,11,1
330,11611,1161,116,11,1
331,11611,1161,116,11,1
332,11611,1161,116,11,1
334,11611,1161,116,11,1
335,11611,1161,116,11,1
336,11611,1161,116,11,1
337,11611,1161,116,11,1
339,11611,1161,116,11,1
340,11611,1161,116,11,1
341,11611,1161,116,11,1
342,11611,1161,116,11,1
343,11611,,,,
344,11611,1161,116,11,1
345,11611,1161,116,11,1
346,11611,1161,116,11,1
347,11611,1161,116,11,1
348,11611,1161,116,11,1
349,11611,,,,
350,11611,1161,116,11,1
351,11611,1161,116,11,1
352,11611,1161,116,11,1
353,11611,1161,116,11,1
355,11621,1162,116,11,1
356,11621,1162,116,11,1
357,11621,,,,
359,11621,1162,116,11,1
361,11621,,,,
362,11621,,,,
363,11621,1162,116,11,1
365,11621,1162,116,11,1
366,11711,1171,117,11,1
367,11711,1171,117,11,1
368,11711,1171,117,11,1
369,11711,1171,117,11,1
370,11711,1171,117,11,1
371,11711,1171,117,11,1
