programa,descripcion_programa,simula,total,benef,annual,icv1,icv2,icv3,icv4
cepr,Alimentate,1,27955461600,1341624,19800,,,,
ilae,Incentivo a la asistencia escolar,1,110207400,73786,1200,,,,
beep,Bono estudiando progreso,1,475954400,122825,,,,,
iesu,Incentivo educación universitaria,1,125633000,20939,6000,,,,
bgch,Bono gas choferes,1,379559640,10531,36042,,,,
bgho,Bono gas hogares,1,7154467370,1273225,5640,,,,
bluz,Bono Luz,1,4059660558,485174,8594,,,,
pipp,Incentivo a la policía preventiva,1,83332500,7483,11136,,,,
piam,Incentivo a la marina de guerra,1,31962176,2870,11136,,,,
pvee,Programa Protección a la Vejez en Pobreza Extrema,1,299264000,45987,4800,,,,
qpac,Quisqueya Aprende Contigo,0,,,,,,,
paes,Alimentación escolar,1,28695775442,1271146,,,,,
op14,Oportunidad 14/24,0,,,,,,,
moto,Motoben,0,,,,,,,
qpac,Quisqueya Aprende Contigo,0,,,,,,,
supe,Tarjeta Supérate,1,,1542869,,,,,
