cod_variedad,cod_articulo,variedad,itbis_alt1,itbis_alt2,itbis_alt3,itbis_alt4
1,11111,Pan de agua,0,0,16,0
2,11111,Pan sobado,0,0,16,0
3,11111,Pan de leche,0,0,16,0
4,11113,Pan de maíz entero,,10,16,
5,11111,Pan de mantequilla,0,0,16,0
6,11111,Pan baguette blanco,0,0,16,0
7,11111,Pan baguette integral,0,0,16,0
8,11111,Pan camarón,0,0,16,0
9,11111,Pan integral,0,0,16,0
10,11111,Pan telera,0,0,16,0
12,11111,Pan de pita,0,0,16,0
13,11111,Pan de sándwich rebanado blanco,0,0,16,0
14,11111,Pan de sándwich rebanado integral,0,0,16,0
15,11111,Pan de hot dog,0,0,16,0
17,11112,Galletas con ajonjolí,,10,16,
18,11112,Galletas de harina / Galleta de manteca,,10,16,
20,11112,Galletas dulces,,10,16,
21,11112,Galletas integrales,,10,16,
22,11112,Galletas María,,10,16,
23,11112,Galletas saladas,,10,16,
24,11112,Galletas de Avena / Granola,,10,16,
29,11113,Polvorones,,10,16,
35,11113,Violados,,10,,
41,11132,Gofio,,10,16,
47,11113,Mantecados,,10,16,
48,11113,Masitas,,10,16,
49,11113,Conconete,,10,16,
51,11113,Cazabe,,10,16,
53,11113,Tortilla de maíz (para tacos),,10,16,
57,11121,Maicena (fécula de maíz) /Maicera (harina de maíz procesada),,10,16,
58,11121,Harina de trigo,,10,16,
62,11121,Sémola de maíz,,10,16,
65,11131,Arroz súper-selecto o premium,0,0,16,0
66,11131,Arroz selecto,0,0,16,0
67,11131,Arroz corriente,0,0,16,0
69,11131,Arroz integral,0,0,16,0
71,11132,Avena en hojuela o entera,,10,16,
73,11132,Cereales de arroz,,10,16,
75,11132,Cereales de trigo,,10,16,
80,11132,Trigo,,10,16,
81,11132,Germen de trigo,,10,16,
82,11132,Maíz en mazorca seco,,10,16,
83,11132,Maíz en grano,,10,16,
86,11141,Coditos,,10,16,
87,11141,Fideos,,10,16,
88,11141,Spag1hetti,,10,16,
89,11141,Tallarines,,10,16,
94,11211,Bola de lomo,,10,16,
95,11211,Boliche limpio,,10,16,
96,11211,Cadera limpia,,10,16,
97,11211,Carne molida de res,,10,16,
98,11211,Carne no. 7,,10,16,
99,11211,Carne preparada para bistec,,10,16,
100,11211,Rotí,,10,16,
101,11211,Pecho,,10,16,
104,11211,Filete,,10,16,
105,11211,Bistec de palomilla,,10,16,
106,11241,Rabo de res,,10,16,
107,11211,Pata de res,,10,16,
108,11211,Carne corriente de res,,10,16,
110,11212,Pollo fresco,0,0,16,0
111,11212,Pollo congelado,0,0,16,0
112,11212,Pechuga de pollo,0,0,16,0
113,11212,Filete de pechuga (deshuesada) de pollo,0,0,16,0
114,11212,Muslos de pollo,0,0,16,0
115,11212,Alitas de pollo,0,0,16,0
116,11212,Carne molida de pollo,0,0,16,0
117,11212,Carne de gallina,0,0,16,0
118,11212,Carne de guinea,,10,16,
119,11212,Carne de pato,,10,16,
120,11212,Carne de pavo,,10,16,
121,11242,Hígado de pollo,0,0,16,0
122,11242,Molleja de pollo,0,0,16,0
123,11212,Pico y pala de pollo,0,0,16,0
125,11213,Lomo de Cerdo,,10,16,
126,11213,Masa de cerdo,,10,16,
127,11213,Pierna de cerdo,,10,16,
128,11213,Carne corriente de cerdo,,10,16,
129,11213,Carne de cabeza decerdo,,10,16,
130,11213,Capa de carne cerdo,,10,16,
131,11213,Chuleta de cerdo fresca,,10,16,
132,11213,Costillas-pecho de cerdo,,10,16,
133,11213,Carne molida de cerdo,,10,16,
134,11213,Patica de cerdo,,10,16,
135,11243,Rabo de cerdo,,10,16,
137,11214,Carne de chivo,,10,16,
140,11241,Bofe de res,,10,16,
141,11241,Corazón de res,,10,16,
142,11241,Lengua de res,,10,16,
143,11241,Hígado de res,,10,16,
145,11241,Mondongo de res,,10,16,
146,11243,Lengua de cerdo,,10,16,
147,11241,Riñón de res,,10,16,
149,11243,Mondongo de cerdo,,10,16,
151,11243,Entresijo de cerdo,,10,16,
159,11221,Chuleta ahumada,,10,16,
164,11222,Chorizos,,10,16,
