sim_inc,activo,tramo1,tramo2,tramo3,tramo4,tramo5,tramo6,base1,base2,base3,base4,base5,base6,tasa1,tasa2,tasa3,tasa4,tasa5,tasa6,nom_renta
0,1,0,416220,624329,867123,2400000,,0,0,31216.35,79775.15,462994.4,,0,0.15,0.2,0.25,0.27,,
1,1,0,301444,416220,624329,867123,,0,0,4591.04,35807.39,84366.19,,0,0.04,0.15,0.2,0.25,,ISR tramo alto
2,0,,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,
