sim_sub,activo,block1,block2,block3,block4,block5,block6,block7,bsur1,bsur2,bsur3,bsur4,bsur5,bsur6,bsur7,bnorte1,bnorte2,bnorte3,bnorte4,bnorte5,bnorte6,bnorte7,beste1,beste2,beste3,beste4,beste5,beste6,beste7,tsur1,tsur2,tsur3,tsur4,tsur5,tsur6,tsur7,tnorte1,tnorte2,tnorte3,tnorte4,tnorte5,tnorte6,tnorte7,teste1,teste2,teste3,teste4,teste5,teste6,teste7,costsur,costnorte,costeste,nom_subsidio
0,1,0,100,200,300,700,,,42.1,128.59,128.59,128.59,128.59,,,40.33,126.81,126.81,126.81,126.81,,,41.34,127.83,127.83,127.83,127.83,,,6.05,6.05,8.59,12.89,13.09,,,5.97,5.97,8.51,13.83,14.04,,,6.17,6.17,8.71,13.04,13.26,,,9.1192201,9.32120934,8.537015819999999,
1,1,0,100,200,300,700,,,42.1,128.59,128.59,128.59,128.59,,,40.33,126.81,126.81,126.81,126.81,,,41.34,127.83,127.83,127.83,127.83,,,6.05,6.9,9.11,14.69,14.92,,,5.97,6.81,9.02,15.77,16.01,,,6.17,7.03,9.23,14.87,15.12,,,9.1192201,9.32120934,8.537015819999999,ajuste subsidio eléctrico
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
